,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Thermi,Parvarchaeota,Caldithrix,Poribacteria
ERR1414218,MGYS00001110,5,1195,0,261,970,147,4648,88,0,5,145,4048,8,7,20,5527,16,37,0,0,0,31,183,3979,1081,416,140,164,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,16,254,0
ERR1414219,MGYS00001110,7,926,0,152,739,81,3658,81,0,5,89,2542,8,7,48,4916,16,35,0,0,0,31,173,4211,1310,280,467,158,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,23,175,1
ERR1414220,MGYS00001110,5,1418,0,283,1198,181,5277,149,0,5,183,4989,13,15,29,6065,22,36,0,0,0,36,206,5060,1117,478,135,165,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,18,338,1
ERR1414221,MGYS00001110,5,860,0,258,1261,115,11950,30,0,1,119,2505,15,3,10,3604,4,77,0,0,0,120,431,5595,1071,1537,153,82,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,12,151,0
ERR1414222,MGYS00001110,9,974,0,263,1580,146,11958,59,0,3,134,3664,22,4,9,4678,0,109,0,0,0,161,441,6690,1356,2186,141,90,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,6,15,169,0
ERR1414223,MGYS00001110,42,799,0,149,428,52,13044,62,0,3,128,3920,18,6,7,3742,2,50,0,0,0,129,305,4198,1937,1370,605,126,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,8,20,68,0
ERR1414224,MGYS00001110,37,644,0,127,445,52,10663,45,0,3,139,3078,12,1,33,3235,5,35,0,0,0,124,213,3642,1658,1258,482,118,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,29,55,0
ERR1414225,MGYS00001110,25,551,0,133,548,44,10777,28,0,1,97,2440,8,2,16,5662,226,42,0,0,0,111,210,9918,936,906,278,75,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,16,48,0
ERR1414226,MGYS00001110,0,20,0,1252,1395,71,7287,2,0,16,159,789,60,31,8,2006,38,175,0,0,0,629,423,22848,216,0,22,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,0
ERR1414227,MGYS00001110,0,7,0,1147,2173,47,6765,0,0,11,203,834,57,33,2,1750,38,150,0,0,0,646,502,17248,150,3,22,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,3,0
ERR1414228,MGYS00001110,0,14,0,1291,2791,63,7111,0,0,13,214,876,62,29,6,1740,38,220,0,0,0,870,547,18239,187,6,24,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,6,0
ERR1414229,MGYS00001110,0,29,0,1464,2041,64,8240,0,0,17,258,1024,62,30,3,2230,55,186,0,0,0,676,526,22114,236,7,34,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0
ERR1414230,MGYS00001110,0,15,0,1266,1795,65,4193,1,0,11,144,633,23,17,0,1053,10,101,0,0,0,166,315,9869,89,2,12,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,0
ERR1414231,MGYS00001110,0,53,0,2525,3426,101,7315,2,0,24,316,1166,48,57,4,2178,29,154,0,0,0,376,709,18496,210,5,37,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,4,0
ERR1414232,MGYS00001110,0,22,0,2179,2324,102,6733,0,0,13,270,1246,62,47,6,2012,30,113,0,0,0,386,542,21252,267,4,38,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0
ERR1414233,MGYS00001110,8,1969,0,194,450,197,4035,76,0,3,323,3870,15,3,15,2552,1,26,0,0,0,27,238,2920,685,342,43,106,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,9,113,0
ERR1414234,MGYS00001110,11,2122,0,190,530,213,4052,93,0,7,246,3893,7,2,12,2627,3,19,0,0,0,50,269,3002,665,296,19,101,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,11,116,0
ERR1414235,MGYS00001110,27,2842,0,316,732,244,5613,114,0,1,500,6236,24,7,25,3918,1,23,0,0,0,67,319,4300,1154,412,94,151,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,2,17,148,0
ERR1414236,MGYS00001110,20,2576,0,260,684,271,4876,116,0,10,359,5093,28,3,15,3427,1,22,0,0,0,43,335,3542,1012,413,82,146,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,10,142,1
ERR1414237,MGYS00001110,0,14,0,9,2098,4,2871,0,0,0,9,19,10,0,2,17804,207,11,0,0,0,0,58,17680,42,90,97,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0
ERR1414238,MGYS00001110,0,5,0,31,2728,12,4692,0,0,0,3,50,13,0,4,21973,265,19,0,0,0,0,59,25743,68,88,167,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30,0,0,0
ERR1414239,MGYS00001110,0,2,0,67,1463,22,5618,0,0,0,14,62,15,0,40,10793,495,9,0,0,0,0,61,22139,115,60,95,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0
ERR1414240,MGYS00001110,0,14,0,57,1316,12,5592,0,0,0,27,61,29,4,52,11443,504,12,0,0,0,0,75,20680,134,53,60,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,3,0
ERR1414241,MGYS00001110,0,11,0,53,2499,17,5227,0,0,0,17,63,19,4,31,16605,642,14,0,0,0,1,64,18587,94,82,96,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0
ERR1414242,MGYS00001110,0,23,0,54,3558,11,5856,0,0,1,34,118,30,0,39,21764,886,17,0,0,0,0,53,22519,120,103,205,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0
ERR1414243,MGYS00001110,0,53,0,35,1628,12,5671,1,0,0,14,21,16,1,20,13877,580,9,0,0,0,0,59,24728,122,130,106,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,16,0,0,0
ERR1414244,MGYS00001110,0,50,0,87,2274,13,6828,0,0,1,12,66,24,6,37,15713,595,13,0,0,0,0,72,28189,135,111,105,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,14,0,0,0
ERR1414245,MGYS00001110,0,51,0,40,1631,10,6137,0,0,0,57,40,29,2,25,13037,543,13,0,0,0,1,33,27454,119,59,53,7,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,0,0,0
ERR1414246,MGYS00001110,0,53,0,43,1807,24,6662,4,0,0,71,26,18,1,37,14320,680,13,0,0,0,3,19,32515,90,68,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,27,0,2,0
ERR1414247,MGYS00001110,0,15,0,6,2653,13,2776,0,0,0,1,27,25,0,0,23694,212,25,0,0,0,0,72,23813,50,108,168,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,0,0
ERR1414248,MGYS00001110,0,29,0,23,3594,13,1980,0,0,0,8,30,12,0,6,25414,289,24,0,0,0,0,54,19101,56,76,165,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0
ERR1414249,MGYS00001110,0,23,0,43,2523,12,4836,1,0,0,26,46,56,2,25,16067,567,4,0,0,0,2,72,18290,113,76,166,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,7,0,0,0
ERR1414250,MGYS00001110,0,37,0,66,2187,31,5527,0,0,0,23,109,37,3,30,15077,762,17,0,0,0,3,126,23742,160,74,135,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,2,0
ERR1414251,MGYS00001110,0,30,0,30,3599,26,5235,3,0,0,15,103,19,0,36,25949,828,31,0,0,0,0,89,22071,122,113,118,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,27,0,0,0
ERR1414252,MGYS00001110,0,38,0,42,2178,8,3506,0,0,0,16,93,24,6,18,15417,518,18,0,0,0,0,40,14239,109,56,65,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0
ERR1414253,MGYS00001110,0,21,0,36,3390,10,4511,0,0,3,14,74,16,0,14,21820,847,18,0,0,0,0,72,26905,131,203,140,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0
ERR1414254,MGYS00001110,0,52,0,20,2937,10,5050,0,0,2,17,52,14,0,5,21097,794,20,0,0,0,1,64,27404,85,243,130,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0
ERR1414255,MGYS00001110,0,84,0,114,2316,11,5789,0,0,0,48,14,6,0,15,17597,748,9,0,0,0,0,54,29256,115,84,96,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,54,0,0,0
ERR1414256,MGYS00001110,0,79,0,26,1836,14,4892,0,0,0,78,54,9,11,6,15822,622,11,0,0,0,7,41,28288,50,115,83,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,35,0,0,0
ERR1414257,MGYS00001110,0,0,0,57,178,0,564,0,0,36,0,19,149,22,0,352,11,17,0,0,0,1,40,10342,15,39,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0
ERR1414258,MGYS00001110,0,0,0,24,286,19,1152,0,0,65,1,57,179,89,1,525,0,0,0,0,0,38,46,17757,10,0,17,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10,0,0
ERR1414259,MGYS00001110,0,11,0,569,1212,69,1258,0,0,11,58,588,100,3,0,800,9,3,0,0,0,184,327,9769,26,3,4,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,34,0,0,0
ERR1414260,MGYS00001110,0,11,0,588,1275,92,1311,0,0,39,86,526,51,2,2,944,9,11,0,0,0,225,355,8623,55,15,7,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ERR1414261,MGYS00001110,0,10,0,62,396,6,894,0,0,37,20,66,88,42,6,434,21,11,0,0,0,25,70,18216,15,2,6,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ERR1414262,MGYS00001110,0,21,0,71,425,9,1186,0,0,39,48,89,109,38,4,464,23,21,0,0,0,10,95,18419,10,4,3,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
ERR1414263,MGYS00001110,0,16,0,442,1097,37,1192,0,0,36,44,458,66,0,0,631,7,57,0,0,0,288,329,7889,49,3,10,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0
ERR1414264,MGYS00001110,0,30,0,430,990,37,1315,0,0,17,45,338,64,3,3,647,16,52,0,0,0,297,301,8093,34,2,12,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0
ERR1414266,MGYS00001110,0,37,0,148,1237,18,1261,0,0,27,64,251,87,32,12,751,32,24,0,0,0,67,136,10578,25,24,7,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,69,0,0,0
ERR1414268,MGYS00001110,8,980,0,276,1301,108,13611,40,0,3,137,2678,35,5,18,4295,4,77,0,0,0,162,362,7083,1497,1413,187,79,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,4,11,151,0
ERR1414269,MGYS00001110,36,527,0,135,420,43,10221,36,0,5,90,2650,12,4,26,3087,4,42,0,0,0,116,229,3538,1589,1268,484,81,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,27,62,0
ERR1414270,MGYS00001110,0,33,0,37,905,28,11247,4,0,1,16,64,21,4,20,12755,1077,15,0,0,0,6,72,38262,62,20,70,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,1,0
ERR1414272,MGYS00001110,0,28,0,48,1126,20,10111,1,0,0,28,60,22,5,18,14897,1233,22,0,0,0,15,90,36392,82,49,100,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0
ERR1414273,MGYS00001110,0,41,0,68,1562,51,19083,3,0,2,28,86,46,11,66,24769,2111,27,0,0,0,7,126,63400,112,56,144,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,13,0,0,0
ERR1414274,MGYS00001110,0,45,0,3058,2302,86,7852,0,0,19,273,1528,81,57,14,2722,29,135,0,0,0,458,600,27883,371,1,38,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0
ERR1414275,MGYS00001110,1,85,0,121,2402,20,13577,1,0,3,46,63,59,6,21,32371,2073,48,0,0,0,24,118,38512,128,105,182,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,27,0,0,0
ERR1414276,MGYS00001110,0,78,0,87,1063,16,12861,1,0,2,26,55,75,4,24,21680,1702,34,0,0,0,21,78,31369,136,52,128,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12,0,0,0
ERR1414277,MGYS00001110,0,75,0,95,1788,20,15084,1,0,2,37,88,55,2,19,28344,2003,39,0,0,0,23,95,37716,152,93,158,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,16,1,3,0
ERR1414278,MGYS00001110,0,105,0,112,2476,13,13716,3,0,4,40,72,67,11,21,32507,2009,53,0,0,0,13,109,38965,138,87,155,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,30,0,1,0
